EID,Authors,Affiliations,Title,Year,country,affil_norm,country_norm,qs_rank_2024
2-s2.0-85216304894,"Umnov, D.G.","Andijan State University, Andizhan, Andijan, Uzbekistan",Forming financial literacy and consumer culture in older preschoolers; Формирование финансовой грамотности и культуры потребления у старших дошкольников,2024,Uzbekistan,andijan state university andizhan andijan uzbekistan,uzbekistan,
2-s2.0-85216304894,"Kariyev, A.D.","The Department of Social Humanitarian Sciences, Andijan State Institute of Foreign Languages, Andizhan, Uzbekistan",Forming financial literacy and consumer culture in older preschoolers; Формирование финансовой грамотности и культуры потребления у старших дошкольников,2024,Uzbekistan,the andijan state andizhan uzbekistan,uzbekistan,
2-s2.0-85216304894,"Mirzakarimova, M.M.","Andijan State Institite of Foreign Languages, Pedagogy and Psychology, Andizhan, Uzbekistan",Forming financial literacy and consumer culture in older preschoolers; Формирование финансовой грамотности и культуры потребления у старших дошкольников,2024,Uzbekistan,andijan state institite of foreign languages pedagogy and psychology andizhan uzbekistan,uzbekistan,
2-s2.0-85216219999,"Joshi, S.","Hospice Education India LLP, New Delhi, India",Financial toxicity in cancer palliative care in India: Addressing existence and beyond – Seeking remedies for a balanced financial journey,2024,India,hospice education india llp new delhi india,india,
2-s2.0-85216219999,"Damani, A.","Department of Palliative Medicine and Supportive Care, Kasturba Medical College, Manipal, Manipal, KA, India",Financial toxicity in cancer palliative care in India: Addressing existence and beyond – Seeking remedies for a balanced financial journey,2024,India,kasturba medical college manipal manipal ka india,india,
2-s2.0-85216219999,"Garg, A.","Arthroplasty and Arthroscopy SIOR, Pune, MH, India",Financial toxicity in cancer palliative care in India: Addressing existence and beyond – Seeking remedies for a balanced financial journey,2024,India,arthroplasty and arthroscopy sior pune mh india,india,
2-s2.0-85216219999,"Dewan, A.K.","RG Kar Medical College, Kolkata, WB, India",Financial toxicity in cancer palliative care in India: Addressing existence and beyond – Seeking remedies for a balanced financial journey,2024,India,rg kar medical college kolkata wb india,india,
2-s2.0-85216219999,"Sharma, R.","Department of Pain Management, Rajiv Gandhi Cancer Institute and Research Centre, New Delhi, DL, India",Financial toxicity in cancer palliative care in India: Addressing existence and beyond – Seeking remedies for a balanced financial journey,2024,India,rajiv gandhi cancer new delhi dl india,india,
2-s2.0-85216219999,"Joshi, U.","Rajiv Gandhi Cancer Institute and Research Centre, New Delhi, DL, India",Financial toxicity in cancer palliative care in India: Addressing existence and beyond – Seeking remedies for a balanced financial journey,2024,India,rajiv gandhi cancer new delhi dl india,india,
2-s2.0-85215781909,"Panigrahi, R.R.","Symbiosis Institute of Digital and Telecom Management, Pune, MH, India",An Investigation into Opportunities and Challenges for Forex Decision Making Using Machine Learning,2024,India,symbiosis pune mh india,india,
2-s2.0-85215532747,"Mabrouk, H.","EGADE Business School, San Pedro Garza Garcia, NLE, Mexico",The Role of Steemit as a Blockchain-Based Platform in Fostering Digital Financial Activism and Community Engagement,2024,Mexico,egade business san pedro garza garcia nle mexico,mexico,
2-s2.0-85215419631,"Beres, D.","Budapesti Metropolitan Egyetem, Budapest, Hungary",THE ROLE OF POCKET MONEY IN THE FINANCIAL SOCIALIZATION OF YOUNG PEOPLE,2024,Hungary,budapesti metropolitan egyetem budapest hungary,hungary,
2-s2.0-85215302199,"Bužienė, I.","VIlniaus Universiteto Verslo Mokykla, Vilnius, Vilnius, Lithuania",FACTORS AND INDICATORS SHAPING FINANCIAL LITERACY: A MULTICRITERIA ANALYSIS OF SELECTED PROGRAMS AND STRATEGIC INSIGHTS FOR RESILIENT ECONOMIC DEVELOPMENT,2024,Lithuania,vilniaus universiteto verslo mokykla vilnius vilnius lithuania,lithuania,
2-s2.0-85215101187,"Chan, G.M.L.","Department of Internal Medicine, Cebu Velez General Hospital, Cebu, Philippines",A Cross-sectional Survey on Financial Literacy and Financial Well-being of Healthcare Workers in a Tertiary Hospital in Cebu,2024,Philippines,cebu velez general hospital cebu philippines,philippines,
2-s2.0-85214995761,"Parashar, N.","Symbiosis School of Banking & Finance, Pune, MH, India","Trust, Tech and Tradition: A Multifactor Analysis of Indian Investors' Intentions to Adopt Robo Advisors",2024,India,symbiosis pune mh india,india,
2-s2.0-85214687242,"Pavković, A.","consultancy and other services, APhD, Zagreb, Croatia",Financial Literacy Comparison: Has Generation Z Surpassed Millennials in Money Matters?; USPOREDBA FINANCIJSKE PISMENOSTI: JE LI GENERACIJA Z NADMAŠILA MILENIJALCE U FINANCIJSKIM PITANJIMA?,2024,Croatia,consultancy and other services aphd zagreb croatia,croatia,
2-s2.0-85214687242,"Mišević, D.","Hrvatska postanska banka d.d. Zagreb, Zagreb, Croatia",Financial Literacy Comparison: Has Generation Z Surpassed Millennials in Money Matters?; USPOREDBA FINANCIJSKE PISMENOSTI: JE LI GENERACIJA Z NADMAŠILA MILENIJALCE U FINANCIJSKIM PITANJIMA?,2024,Croatia,hrvatska postanska banka dd zagreb zagreb croatia,croatia,
2-s2.0-85214593610,"Lubawa, G.G.","Department of Development Finance and Management Studies, Institute of Rural Development Planning, Tanzania, Dodoma, Tanzania",Advancing Financial Inclusion through Digital Finance Innovations in Tanzania,2024,Tanzania,tanzania dodoma tanzania,tanzania,
2-s2.0-85214019905,"Gurning, R.O.S.","Research Center for Transportation Technology, Badan Riset dan Inovasi Nasional, Central Jakarta, Jakarta, Indonesia",Leveraging Bayesian Network to Improve the Marine Insurance's Condition Survey Form for Passenger Vessel,2024,Indonesia,research badan riset dan inovasi nasional central jakarta jakarta indonesia,indonesia,
2-s2.0-85213730543,"Manoj Kumar, M.K.","Department of Information Science and Engineering, Nitte Meenakshi Institute of Technology, Bengaluru, KA, India",How critical is SME financial literacy and digital financial access for financial and economic development in the expanded BRICS block?,2024,India,nitte meenakshi bengaluru ka india,india,
2-s2.0-85213730543,"Braendle, U.C.","IMC Fachhochschule Krems GmbH, Krems an der Donau, Lower Austria, Austria",How critical is SME financial literacy and digital financial access for financial and economic development in the expanded BRICS block?,2024,Austria,imc fachhochschule krems gmbh krems an der donau lower austria austria,austria,
2-s2.0-85213125913,"Patnaik, A.","Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",The Relationship between Financial Literacy and Investment Strategies among Gig Workers,2024,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-85213125913,"Patnaik, B.C.M.","Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",The Relationship between Financial Literacy and Investment Strategies among Gig Workers,2024,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-85213125913,"Satpathy, I.","Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",The Relationship between Financial Literacy and Investment Strategies among Gig Workers,2024,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-85213059608,"Badoc-Gonzales, B.P.","UP Visayas Tacloban College, Tacloban, Leyte, Philippines",Financial Literacy of the Economically Disadvantaged Sector in a Philippine Community,2024,Philippines,up visayas tacloban college tacloban leyte philippines,philippines,
2-s2.0-85213047663,"Kent Baker, H.K.","Department of Finance and Real Estate, Kogod School of Business, Washington, D.C., United States",The Big 5 personality traits and investment biases: the role of financial literacy,2024,United States,kogod washington dc united states,united states,
2-s2.0-85212767169,"Kumar, R.","Sri Aurobindo College of Commerce and Management, Ludhiana, Ludhiana, India",Mapping the literature on financial satisfaction: a systematic literature review and bibliometric analysis,2024,India,sri aurobindo college of commerce and management ludhiana ludhiana india,india,
2-s2.0-85212700378,"Salloum, C.","Métis Lab, EM Normandie, Le Havre, Normandie, France","Institutional dynamics and governance structures in shaping CSR, social entrepreneurship, and private equity investment",2024,France,métis em normandie le havre normandie france,france,
2-s2.0-85212700378,"Ramadani, V.","Faculty of Business and Economics, South East European University, Tetovo, North Macedonia","Institutional dynamics and governance structures in shaping CSR, social entrepreneurship, and private equity investment",2024,North Macedonia,south east european university tetovo north macedonia,north macedonia,
2-s2.0-85212350237,"Hafizuddin-Syah, B.A.M.","Lembaga Minyak Sawit Malaysia), Malaysia","(The Effect of Financial and Risk Management Literacy on the Financial Performance of Sustainable Oil Palm Growers in Sabah, Malaysia); Kesan Literasi Kewangan dan Pengurusan Risiko terhadap Prestasi Kewangan Koperasi Penanam Sawit Mampan di Sabah, Malaysia",2024,Malaysia,lembaga minyak sawit malaysia) malaysia,malaysia,
2-s2.0-85212350237,"Yakob, R.","Integration Research and Extension Division (IRED) Malaysia, Sabah, Malaysia","(The Effect of Financial and Risk Management Literacy on the Financial Performance of Sustainable Oil Palm Growers in Sabah, Malaysia); Kesan Literasi Kewangan dan Pengurusan Risiko terhadap Prestasi Kewangan Koperasi Penanam Sawit Mampan di Sabah, Malaysia",2024,Malaysia,integration research and extension sabah malaysia,malaysia,
2-s2.0-85212203496,"Riding, A.","École de Gestion Telfer, Ottawa, ON, Canada",Does financial knowledge affect borrower discouragement among various social categories? Evidence from the United States,2024,Canada,école de gestion telfer ottawa on canada,canada,
2-s2.0-85212203496,"Saridakis, G.","Kent Business School, Canterbury, Kent, United Kingdom",Does financial knowledge affect borrower discouragement among various social categories? Evidence from the United States,2024,United Kingdom,kent business canterbury kent united kingdom,united kingdom,
2-s2.0-85212180271,"Shan, X.","Guizhou University of Finance and Economics, Guiyang, Guizhou, China",How ESG performance impacts corporate financial performance: a DuPont analysis approach,2024,China,guizhou university of finance and economics guiyang guizhou china,china,
2-s2.0-85212180271,"Yang, Y.","Economic Institute, Guizhou University of Finance and Economics, Guiyang, Guizhou, China",How ESG performance impacts corporate financial performance: a DuPont analysis approach,2024,China,economic guizhou university of finance and economics guiyang guizhou china,china,
2-s2.0-85212174617,Annu,"Department of Humanities and Social Sciences, Motilal Nehru National Institute of Technology Allahabad, Prayagraj, UP, India",An insight of financial literacy and artificial intelligence to mitigate behavioral biases: a bibliometric and systematic review analysis using SPAR-4-SLR,2024,India,motilal nehru national prayagraj up india,india,
2-s2.0-85211876000,"Stephens, A.K.","School of Library and Information Studies, Tuscaloosa, AL, United States",Public Library Collection Development in the Information Age,2024,United States,tuscaloosa al united states,united states,
2-s2.0-85211774485,"Abu-AlSondos, I.A.","Palestine Ahliya University, Bethlehem, Palestine",Exploring the Path from Digital Financial Literacy to QR Payment Adoption,2024,Palestine,palestine ahliya university bethlehem palestine,palestine,
2-s2.0-85211766142,"Zentai, P.","Institute of Psychology, Debreceni Egyetem Bölcsészettudományi Kar, Debrecen, Hajdu-Bihar, Hungary",FINANCIAL BEHAVIOURAL INTENTIONS IN CORRELATION WITH CONTEXTUAL CUES AND FINANCIAL LITERACY – A HUNGARIAN EMPIRICAL STUDY; NAMJERE FINANCIJSKOG PONAŠANJA U KORELACIJI S KONTEKSTUALNIM ZNAKOVIMA I FINANCIJSKOM PISMENOŠĆU – EMPIRIJSKA STUDIJA U MAĐARSKOJ,2024,Hungary,debreceni egyetem bölcsészettudományi kar debrecen hajdu bihar hungary,hungary,
2-s2.0-85211730303,"Dura, J.","Institut Teknologi dan Bisnis Asia Malang, Malang, East Java, Indonesia",The Sustainability Role of Women Entrepreneurs through the Digital Financial Literacy Movement,2024,Indonesia,institut teknologi dan bisnis asia malang malang east java indonesia,indonesia,
2-s2.0-85211618329,"Abdul Rahman, M.","Amanah Ikhtiar Malaysia, Bayan Lepas, Malaysia",Alleviating financial education debt through Zakah: proposing HOPE model to public higher education institution,2024,Malaysia,amanah ikhtiar malaysia bayan lepas malaysia,malaysia,
2-s2.0-85210973535,"Rahadi, A.P.","Institut Teknologi Bandung, Bandung, West Java, Indonesia","Gender, anxiety and perceived Islamic values in students’ debt attitudes and behaviour: an ethnographic study of an Indonesian multicultural university",2024,Indonesia,institut teknologi bandung bandung west java indonesia,indonesia,
2-s2.0-85210924196,"Vo, T.H.","School of Finance and Accounting, Industrial University of Hochiminh City, Ho Chi Minh City, Viet Nam",Improving financial reporting standards in Vietnam's public companies: The crucial role of audit committees,2024,Viet Nam,industrial university of hochiminh city ho chi minh city viet nam,viet nam,
2-s2.0-85210924196,"Ngoc, H.T.","Accounting Division, Industrial University of Ho Chi Minh City, Ho Chi Minh City, Viet Nam",Improving financial reporting standards in Vietnam's public companies: The crucial role of audit committees,2024,Viet Nam,accounting industrial university of ho chi minh city ho chi minh city viet nam,viet nam,
2-s2.0-85210830204,"Criste, A.","Academia Româna, Bucharest, Romania",Exploring the Recent Inflationary Pressure: Features and Challenges for Central Banks,2024,Romania,academia româna bucharest romania,romania,
2-s2.0-85210589305,"García-Santillán, A.","Universidad Cristóbal Colón, Veracruz, VER, Mexico",Exploring resilience: a Bayesian study of psychological and financial factors across gender,2024,Mexico,universidad cristóbal colón veracruz ver mexico,mexico,
2-s2.0-85210443075,"Hasan, M.","Murdoch Business School, Perth, WA, Australia","Financial Literacy, Access to Microfinance, and Sustainable Development",2024,Australia,murdoch business perth wa australia,australia,
2-s2.0-85210388175,"Rzem, M.","IDRAC Business School, IDRAC Lyon, Lyon, France",Enhancing investor decision-making: a comprehensive study of information disseminated on stock exchange websites,2024,France,idrac business idrac lyon lyon france,france,
2-s2.0-85210072787,"Morais Francisco, P.M.","Faculdade de Economia, Universidade do Algarve, Faro, Faro, Portugal",A survey of corporate finance practices in micro-enterprises: an exploratory analysis conditional on firm and manager characteristics,2024,Portugal,faculdade de economia university do algarve faro faro portugal,portugal,
2-s2.0-85210021693,"Zhukov, A.A.","Russian University of Cooperation, Russian Federation",Corporate Social Responsibility of Cooperatives in Contemporary Legislation,2024,Russian Federation,russian university of cooperation russian federation,russian federation,
2-s2.0-85210021693,"Sidorenko, T.N.","Financial University under the Government of the Russian Federation, Moscow, Russian Federation",Corporate Social Responsibility of Cooperatives in Contemporary Legislation,2024,Russian Federation,financial university under the government of the russian federation moscow russian federation,russian federation,
2-s2.0-85210021693,"Orfanidi, N.I.","Kuban State University, Krasnodar, Krasnodar Krai, Russian Federation",Corporate Social Responsibility of Cooperatives in Contemporary Legislation,2024,Russian Federation,kuban state university krasnodar krasnodar krai russian federation,russian federation,
2-s2.0-85209922643,"Shamim, A.","Faculty of Management Studies, New Delhi, India",Factors that Promote Financial Literacy: Tracing through a Systematic Literature Review Approach,2024,India,new delhi india,india,
2-s2.0-85209922643,"Agarwala, T.","Satyawati College, New Delhi, India",Factors that Promote Financial Literacy: Tracing through a Systematic Literature Review Approach,2024,India,satyawati college new delhi india,india,
2-s2.0-85209891437,"Ogundare, J.A.","Faculty of Economic and Management Sciences, NWU Business School, Potchefstroom, North West, South Africa",Mediating effect of self-control on financial literacy and savings behaviour of rural women entrepreneurs,2024,South Africa,nwu business potchefstroom north west south africa,south africa,
2-s2.0-85209891437,"van der Merwe, S.","Faculty of Management, Bayero University, Kano, Nigeria",Mediating effect of self-control on financial literacy and savings behaviour of rural women entrepreneurs,2024,Nigeria,bayero university kano nigeria,nigeria,
2-s2.0-85209809854,"Sklyarov, I.Y.","Stavropol State Agrarian University, Stavropol, Stavropol Krai, Russian Federation",Monitoring of Financial Inclusion of the Stavropol Territory Districts as Part of the Implementation of the National Strategy for Rural Development,2024,Russian Federation,stavropol state agrarian university stavropol stavropol krai russian federation,russian federation,
2-s2.0-85209743967,"Wang, Z.","Chongqing University, Chongqing, China",Strategic resource amalgamation and diversified business operations: unraveling competitive advantage in Chinese construction contractors,2024,China,chongqing university chongqing china,china,
2-s2.0-85209743967,"Feng, L.","Tianjin University, Tianjin, China",Strategic resource amalgamation and diversified business operations: unraveling competitive advantage in Chinese construction contractors,2024,China,tianjin university tianjin china,china,
2-s2.0-85209587450,"Vitriani, F.","Institut Teknologi Bandung, Bandung, West Java, Indonesia",Does COVID-19 pandemic change financial behaviour?,2024,Indonesia,institut teknologi bandung bandung west java indonesia,indonesia,
2-s2.0-85209559693,"Han, H.","School of Public Administration, China Academy for Rural Development, Zhejiang University, Hangzhou, Zhejiang, China",Determinants on the selection of rural households’ financial assets in China: marketization or financial literacy?,2024,China,china academy for rural development zhejiang university hangzhou zhejiang china,china,
2-s2.0-85209546760,"Jin, X.","School of Economics and Management, Yanshan University, Qinhuangdao, Hebei, China",Investigating the adoption of building information modeling of small-medium sized organizations in the construction industry: from a configuration perspective,2024,China,yanshan university qinhuangdao hebei china,china,
2-s2.0-85209546760,"Li, X.","Department of Building and Real Estate, The Hong Kong Polytechnic University, Hong Kong, Hong Kong, Hong Kong",Investigating the adoption of building information modeling of small-medium sized organizations in the construction industry: from a configuration perspective,2024,Hong Kong,the hong kong polytechnic university hong kong hong kong hong kong,hong kong,
2-s2.0-85209546760,"Li, H.","Chinese University of Hong Kong, Hong Kong, Hong Kong",Investigating the adoption of building information modeling of small-medium sized organizations in the construction industry: from a configuration perspective,2024,Hong Kong,chinese university of hong kong hong kong hong kong,hong kong,
2-s2.0-85209546760,"Zhou, D.","Office of Finance, Yanshan University, Qinhuangdao, Hebei, China",Investigating the adoption of building information modeling of small-medium sized organizations in the construction industry: from a configuration perspective,2024,China,office of finance yanshan university qinhuangdao hebei china,china,
2-s2.0-85209460346,"Dang, D.","Department of Anesthesiology, Atal Bihari Vajpayee Institute of Medical Sciences, New Delhi, DL, India",Financial Literacy for Anesthesiologists,2024,India,atal bihari vajpayee new delhi dl india,india,
2-s2.0-85209110613,"Caro, N.P.","Centro de Investigaciones y Estudios sobre Cultura y Sociedad, Cordoba, Cordoba, Argentina","Main factors of financial inclusion in South American countries. Cuadernos de Economía,; PRINCIPALES FACTORES DE LA INCLUSIóN FINANCIERA EN PAÍSES DE AMÉRICA DEL SUR",2024,Argentina,centro de investigaciones y estudios sobre cultura y sociedad cordoba cordoba argentina,argentina,
2-s2.0-85208922712,"Melnikov, R.M.","Department of state regulation of the economy, Russian Presidential Academy of National Economy and Public Administration, Moscow, Moscow Oblast, Russian Federation",The Impact of Financial literacy on the Choice of Financial Instruments by Private Investors in Russian Conditions; Влияние уровня финансовой грамотности на выбор финансовых инструментов частными инвесторами в российских условиях,2024,Russian Federation,russian presidential academy of national economy and public administration moscow moscow oblast russian federation,russian federation,
2-s2.0-85208812103,"Chirwatkar, R.B.","Department of Information Technology, Yeshwantrao Chavan College of Engineering, Nagpur, MH, India",Price Evaluation of used Car using Machine Learning Technique,2024,India,yeshwantrao chavan college of engineering nagpur mh india,india,
2-s2.0-85208784730,"Shivanna, D.","Department of Computer Science and Engineering, Vidyavardhaka College of Engineering, Mysore, Mysore, KA, India",An Empirical Assessment of Botnets and Detection Methods,2024,India,vidyavardhaka college of engineering mysore mysore ka india,india,
2-s2.0-85208780400,"Chen, F.","University of International Business and Economics, Beijing, China",How does Internet Financial Product Participation Matter for Household Financial Vulnerability? Evidence from China,2024,China,university of international business and economics beijing china,china,
2-s2.0-85208780400,"Liu, X.","School of International Trade and Economics, University of International Business and Economics, Beijing, China",How does Internet Financial Product Participation Matter for Household Financial Vulnerability? Evidence from China,2024,China,university of international business and economics beijing china,china,
2-s2.0-85208643245,"Prakash, S.","Department of Csbs, Sri Eshwar College of Engineering, Coimbatore, TN, India",Blockchain Based Talent Recognition System for Young Cricketers,2024,India,sri eshwar college of engineering coimbatore tn india,india,
2-s2.0-85208625621,"Mancone, S.","Department of Human Sciences, Universita di Cassino e del Lazio Meridionale, Cassino, FR, Italy","Youth, money, and behavior: the impact of financial literacy programs",2024,Italy,universita di cassino e del lazio meridionale cassino fr italy,italy,
2-s2.0-85208623592,"Dedyukhina, N.","Department of Accounting and Audit, Emperor Alexander I St. Petersburg State Transport University, Saint Petersburg, Leningrad Oblast, Russian Federation",Directions of transformation of the financial market infrastructure,2024,Russian Federation,emperor alexander i st petersburg state transport university saint petersburg leningrad oblast russian federation,russian federation,
2-s2.0-85208623592,"Cherkesova, T.","Graduate School of Service and Trade, Peter the Great St. Petersburg Polytechnic University, Saint Petersburg, Russian Federation",Directions of transformation of the financial market infrastructure,2024,Russian Federation,graduate peter the great st petersburg polytechnic university saint petersburg russian federation,russian federation,
2-s2.0-85208623592,"Stepanova, D.","Plekhanov Russian University of Economics, Moscow, Russian Federation",Directions of transformation of the financial market infrastructure,2024,Russian Federation,plekhanov russian university of economics moscow russian federation,russian federation,
2-s2.0-85208623592,"Dorofeev, M.","Financial University under the Government of the Russian Federation, Moscow, Russian Federation",Directions of transformation of the financial market infrastructure,2024,Russian Federation,financial university under the government of the russian federation moscow russian federation,russian federation,
2-s2.0-85208613856,"Bhuyan, A.K.","NM Institute of Engineering and Technology, Bhubaneswar, India",CORPORATE SUSTAINABILITY REPORTING PRACTICES IN THE BANKING SECTOR: A GOVERNANCE IMPLICATION,2024,India,nm bhubaneswar india,india,
2-s2.0-85208403610,"Andreev, A.V.","Regional Monitoring Unit, Monetary Policy Department, Moscow, Russian Federation",Factors in the Formation of Inflation Expectations as Recorded in the Russian National Survey of Consumer Finance; Факторы формирования инфляционных ожиданий населения (по данным обследования финансов домохозяйств),2024,Russian Federation,regional monitoring monetary policy moscow russian federation,russian federation,
2-s2.0-85208403610,"Grishchenko, V.O.","Macroeconomic and Financial Unit, Research and Forecasting Department, Moscow, Russian Federation",Factors in the Formation of Inflation Expectations as Recorded in the Russian National Survey of Consumer Finance; Факторы формирования инфляционных ожиданий населения (по данным обследования финансов домохозяйств),2024,Russian Federation,macroeconomic and financial research and forecasting moscow russian federation,russian federation,
2-s2.0-85208310396,"AMAGHOUSS, A.","Economic and Social Sciences, Cadi Ayyad University, Marakech, Marrakesh-Safi, Morocco",Impact of Digital Financial Services on Income Inequality: Microeconomic Evidence from Africa,2024,Morocco,economic and social sciences cadi ayyad university marakech marrakesh safi morocco,morocco,
2-s2.0-85208296841,"Ashique Ali, K.A.","School of Law, Shri Vile Parle Kelvani Mandal’s Narsee Monjee Institute of Management Studies (Deemed to be University), Mumbai, Mumbai, MH, India",How Do the Socio-economic Characteristics of Migrant Workers Shape Their Financial Behaviour?,2024,India,shri vile parle kelvani mandal’s narsee monjee mumbai mumbai mh india,india,
2-s2.0-85208192968,"Yu, Z.","School of Finance, Nanjing Audit University, Nanjing, Jiangsu, China",Media and Investor Sentiment Prediction for Stock Returns - A BP Neural Network Model based on Whale Optimization Algorithm,2024,China,nanjing audit university nanjing jiangsu china,china,
2-s2.0-85208192968,"Miao, Y.","School of Accounting, Nanjing Audit University, Nanjing, Jiangsu, China",Media and Investor Sentiment Prediction for Stock Returns - A BP Neural Network Model based on Whale Optimization Algorithm,2024,China,nanjing audit university nanjing jiangsu china,china,
2-s2.0-85208192968,"Zhao, G.","School of Computer Science, Nanjing Audit University, Nanjing, Jiangsu, China",Media and Investor Sentiment Prediction for Stock Returns - A BP Neural Network Model based on Whale Optimization Algorithm,2024,China,nanjing audit university nanjing jiangsu china,china,
2-s2.0-85208123000,"Khudyakova, L.S.","Primakov National Research Institute of World Economy and International Relations, Russian Academy of Sciences, Moscow, Russian Federation",MULTILATERAL DEVELOPMENT BANKS IN POLYCENTRIC WORLD,2024,Russian Federation,primakov national research russian academy of sciences moscow russian federation,russian federation,
2-s2.0-85208111643,"Peci, B.","Department of Financial Law, Universiteti i Prishtinës, Pristina, Pristina, Serbia",THE ROLE OF CENTRAL BANKS IN THE PROTECTION OF THE BANKING CLIENTS: A LAW AND REGULATION PERSPECTIVE,2024,Serbia,universiteti i prishtinës pristina pristina serbia,serbia,
2-s2.0-85208111643,"Gashi, F.","UNI - Universum International College, Pristina, Pristina, Serbia",THE ROLE OF CENTRAL BANKS IN THE PROTECTION OF THE BANKING CLIENTS: A LAW AND REGULATION PERSPECTIVE,2024,Serbia,uni  universum international college pristina pristina serbia,serbia,
2-s2.0-85208040371,"Bhatia, M.","Birla Institute of Management Technology Greater Noida, Greater Noida, UP, India","Interplay Between Financial Literacy, Firm’s Characteristics, Behavioural Biases and Investment Choices—A Conditional Mediation Model",2024,India,birla greater noida up india,india,
2-s2.0-85207955044,"Ardini, L.","Sekolah Tinggi Ilmu Ekonomi Indonesia Surabaya, Surabaya, East Java, Indonesia",DIGITAL FINANCIAL LITERACY AND ITS IMPACT ON FINANCIAL SKILLS AND FINANCIAL GOALS IN INDONESIA'S DIGITAL PAYMENT ECOSYSTEM,2024,Indonesia,sekolah tinggi ilmu ekonomi indonesia surabaya surabaya east java indonesia,indonesia,
2-s2.0-85207955044,"Dahlan, O.P.","Privietlab Research Center, Jakarta, Indonesia",DIGITAL FINANCIAL LITERACY AND ITS IMPACT ON FINANCIAL SKILLS AND FINANCIAL GOALS IN INDONESIA'S DIGITAL PAYMENT ECOSYSTEM,2024,Indonesia,priviet jakarta indonesia,indonesia,
2-s2.0-85207903455,"Zagudalova, E.V.","Faculty of Economic Sciences, HSE University, Moscow, Russian Federation","Does the education and experience of CEO matter? Evidence from M&As initiated by the Russian companies; Имеет ли значение образование и опыт генерального директора? Примеры сделок слияний и поглощений, инициированных российскими компаниями",2024,Russian Federation,hse university moscow russian federation,russian federation,
2-s2.0-85207855621,"Chainanda, J.","Computer Scince Department, Ijiis Incorporation, New York, United States","Empowering Generation Z Digitally: The Role of Financial Literacy, Social Media, and Trust in Embracing Mobile Payment",2024,United States,computer scince ijiis incorporation new york united states,united states,
2-s2.0-85207853543,"Juříček, P.","Katedra bezpečnostních studií, Ambis vysoká škola. a.s., Praha 8 – Libeň, Czech Republic",Prisoners’ Indebtedness as a Cause of Their Recidivism; Zadluženost vězněných osob jako příčina jejich recidivy,2024,Czech Republic,katedra bezpečnostních studií ambis vysoká škola as praha 8 – libeň czech republic,czech republic,
2-s2.0-85207853543,"Smolík, J.","Katedra bezpečnostních studií, Policejni akademie Ceske republiky v Praze, Prague, Czech Republic",Prisoners’ Indebtedness as a Cause of Their Recidivism; Zadluženost vězněných osob jako příčina jejich recidivy,2024,Czech Republic,katedra bezpečnostních studií policejni akademie ceske republiky v praze prague czech republic,czech republic,
2-s2.0-85207833367,Elvin,"Digital Business, Ilearning Incorporation, Pretoria, South Africa",Analysis of Determinants Influencing Victims' Interest in Illegal Investments,2024,South Africa,digital business ilearning incorporation pretoria south africa,south africa,
2-s2.0-85207831832,"Rajput, A.R.","Symbiosis International (Deemed University), Pune, MH, India",Finfluencer: Exploring the Untapped Influence of Financial Influencers,2024,India,symbiosis international (deemed university) pune mh india,india,
2-s2.0-85207831832,"Gandhi, A.","Symbiosis Institute of Business Management, Pune, Pune, MH, India",Finfluencer: Exploring the Untapped Influence of Financial Influencers,2024,India,symbiosis pune pune mh india,india,
2-s2.0-85207802073,"Lulaj, E.","Universiteti “Haxhi Zeka”, Peja, Peja, Serbia","Cracking the Wealth Puzzle: Investigating the Interplay of Personal Finance, Expenditure Behavior, and Financial Management",2024,Serbia,universiteti “haxhi zeka” peja peja serbia,serbia,
2-s2.0-85207483405,"Yunong, Y.","School of Computer Science and Engineering, Sun Yat-Sen University, Guangzhou, Guangdong, China",Unbiased Estimators for Uniform Distribution Applied to Interval Estimation of Transition or Beginning Year About World Reserve Currency,2024,China,sun yat sen university guangzhou guangdong china,china,
2-s2.0-85207290458,"Lavanya, R.","VIT Business School, Vellore, TN, India",Empowering economic growth: the mediating influence of financial decision making on financial literacy and perceived wealth creation among female IT professionals,2024,India,vit business vellore tn india,india,
2-s2.0-85207258573,"Kittichotwattana, O.","OUKA International Company Limited, Songkla, Thailand",Retirement Plans and Retiree’s Investment Decision in Thailand: A Study of What Informs Retiree’s Pension Investment,2024,Thailand,ouka international company limited songkla thailand,thailand,
2-s2.0-85207107204,"Rabinovich, L.","Evaluation, Social Security Administration, Baltimore, MD, United States",Three little words? The impact of social security terminology on knowledge and claiming intentions,2024,United States,evaluation social security administration baltimore md united states,united states,
2-s2.0-85206793665,"Gottlieb, U.","Department of Economics, Sveriges lantbruksuniversitet, Uppsala, Uppsala, Sweden",Farmers' Financial Literacy—Scale Development and Linkages to Accounting Practices and Financial Outcomes,2024,Sweden,sveriges lantbruksuniversitet uppsala uppsala sweden,sweden,
